Left,HandElevation,Position,-0.7,-0.5,0,-0.6
Left,HandElevation,Weight,1,0.5,1,0.7
Right,HandElevation,Position,0,0,0,0
Right,HandElevation,Weight,1,0.5,1,0.7
Left,ArmReach,Position,0.2,1,2,-0.3
Left,ArmReach,Weight,1,0.5,1,0.7
Right,ArmReach,Position,0.1,0.7,-0.1,0.3
Right,ArmReach,Weight,1,0.5,1,0.7
Left,HandPitch,Position,0.3,0.3,0,-0.5
Left,HandPitch,Weight,1,0.5,1,0.7
Right,HandPitch,Position,-0.6,0.5,0.1,-0.2
Right,HandPitch,Weight,1,0.5,1,0.7
Left,ShoulderYaw,Position,0.5,-0.5,0.5,-0.5
Left,ShoulderYaw,Weight,1,0.5,1,0.7
Right,ShoulderYaw,Position,0.7,-0.5,0.1,0.2
Right,ShoulderYaw,Weight,1,0.5,1,0.7
